model,pool,targets,mean_hits,expected,lift,cov3,cov3_exp,cov4,cov4_exp,cov5,cov5_exp,cov6,cov6_exp,dev_mean,conf_mean,p_full,p_dev,p_conf,p_full_holm
repeat_last,12,129,2.0232558139534884,1.894736842105263,1.0678294573643412,0.2713178294573643,0.27326264787565097,0.09302325581395349,0.06606739424076885,0.0,0.007793729155958257,0.0,0.00033470002510250184,1.875,2.169230769230769,0.09104779352627271,0.5804806131414492,0.021843273302506287,1.0
repeat_last,15,129,2.4651162790697674,2.3684210526315788,1.040826873385013,0.4573643410852713,0.4438122332859174,0.17054263565891473,0.15192591972777728,0.031007751937984496,0.02683178534571723,0.007751937984496124,0.001812958469305218,2.3125,2.6153846153846154,0.1717972963846386,0.6756903731727464,0.04201316251425201,1.0
repeat_last,20,129,3.186046511627907,3.1578947368421053,1.0089147286821705,0.7596899224806202,0.7206037206037206,0.37209302325581395,0.38364338364338363,0.10077519379844961,0.11512811512811516,0.007751937984496124,0.01404001404001404,3.015625,3.353846153846154,0.40440871481333285,0.8544558083710506,0.0908771724802274,1.0
ensemble_eq,6,129,1.0077519379844961,0.9473684210526315,1.0637381567614126,0.046511627906976744,0.03869806036988699,0.007751937984496124,0.0027648975017396066,0.0,6.991028662855287e-05,0.0,3.62229464396647e-07,0.9375,1.0769230769230769,0.21880743700278643,0.5628438024638109,0.11927302371040643,1.0
ensemble_eq,8,129,1.2868217054263567,1.263157894736842,1.0187338501291991,0.11627906976744186,0.09400506614128905,0.015503875968992248,0.011648575116067376,0.0,0.0006186879251894731,0.0,1.0142425003106117e-05,1.265625,1.3076923076923077,0.4019844790850878,0.51462458220288,0.37138966838403187,1.0
ensemble_eq,10,129,1.627906976744186,1.5789473684210527,1.0310077519379846,0.17829457364341086,0.17378538121572176,0.05426356589147287,0.03138573417211187,0.0,0.002631959288306037,0.0,7.606818752329587e-05,1.640625,1.6153846153846154,0.3035650838595746,0.33164169368678226,0.4060564582183399,1.0
ensemble_eq,12,129,2.0,1.894736842105263,1.0555555555555556,0.32558139534883723,0.27326264787565097,0.10852713178294573,0.06606739424076885,0.015503875968992248,0.007793729155958257,0.0,0.00033470002510250184,1.984375,2.0153846153846153,0.13852243357018967,0.26713888201945,0.19447319107664002,1.0
ensemble_eq,15,129,2.4263565891472867,2.3684210526315788,1.024461670973299,0.4418604651162791,0.4438122332859174,0.18604651162790697,0.15192591972777728,0.03875968992248062,0.02683178534571723,0.0,0.001812958469305218,2.453125,2.4,0.290185180135938,0.289631287056909,0.43026545015830536,1.0
ensemble_eq,20,129,3.2170542635658914,3.1578947368421053,1.018733850129199,0.7596899224806202,0.7206037206037206,0.40310077519379844,0.38364338364338363,0.11627906976744186,0.11512811512811516,0.007751937984496124,0.01404001404001404,3.1875,3.246153846153846,0.29056973428610866,0.4393557635511886,0.2841178470447763,1.0
random_control,6,129,0.8062015503875969,0.9473684210526315,0.8509905254091301,0.031007751937984496,0.03869806036988699,0.007751937984496124,0.0027648975017396066,0.0,6.991028662855287e-05,0.0,3.62229464396647e-07,0.71875,0.8923076923076924,0.9778544506891013,0.990286280135768,0.7261804560032961,1.0
random_control,8,129,1.124031007751938,1.263157894736842,0.889857881136951,0.06201550387596899,0.09400506614128905,0.023255813953488372,0.011648575116067376,0.0,0.0006186879251894731,0.0,1.0142425003106117e-05,1.078125,1.1692307692307693,0.9611027488381465,0.9534883406462077,0.810648595730191,1.0
random_control,10,129,1.4806201550387597,1.5789473684210527,0.9377260981912144,0.13953488372093023,0.17378538121572176,0.05426356589147287,0.03138573417211187,0.0,0.002631959288306037,0.0,7.606818752329587e-05,1.484375,1.476923076923077,0.8767964210440046,0.7922590404648943,0.8106804320222402,1.0
random_control,12,129,1.806201550387597,1.894736842105263,0.953273040482343,0.21705426356589147,0.27326264787565097,0.07751937984496124,0.06606739424076885,0.007751937984496124,0.007793729155958257,0.0,0.00033470002510250184,1.734375,1.876923076923077,0.8392240505253291,0.8987192555425807,0.5750301175471972,1.0
random_control,15,129,2.3333333333333335,2.3684210526315788,0.9851851851851853,0.43410852713178294,0.4438122332859174,0.14728682170542637,0.15192591972777728,0.023255813953488372,0.02683178534571723,0.0,0.001812958469305218,2.296875,2.3692307692307693,0.6538609703929786,0.7150806064854504,0.518750190784101,1.0
random_control,20,129,3.193798449612403,3.1578947368421053,1.0113695090439276,0.7286821705426356,0.7206037206037206,0.4263565891472868,0.38364338364338363,0.11627906976744186,0.11512811512811516,0.015503875968992248,0.01404001404001404,3.15625,3.230769230769231,0.3747177586387779,0.5267937492412407,0.3222170988080959,1.0
